"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.438249104E1,-7.638549805E0,2.587585449E1,4.993286133E1
1.448243610E1,-8.259582520E0,2.525939941E1,4.785308838E1
1.453260700E1,-6.048583984E0,2.770080566E1,4.577026367E1
1.463243000E1,-6.152343750E0,2.918090820E1,4.517974854E1
1.473240559E1,-7.612609863E0,3.106384277E1,4.503784180E1
1.478236286E1,-9.147644043E0,3.056945801E1,4.533996582E1
1.488252155E1,-8.151245117E0,2.837219238E1,4.429168701E1
1.498231403E1,-7.350158691E0,2.973632812E1,4.533386230E1
1.503233234E1,-4.913330078E0,2.981109619E1,4.428710938E1
1.513227741E1,-4.798889160E0,2.862854004E1,4.472808838E1
1.523243610E1,-6.455993652E0,2.917022705E1,4.443664551E1
1.528224079E1,-5.262756348E0,2.846374512E1,4.532470703E1
1.538221638E1,-9.259033203E0,2.730712891E1,4.830474854E1
1.548219196E1,-7.759094238E0,2.630615234E1,4.354400635E1
1.553221027E1,-6.565856934E0,2.590484619E1,4.665985107E1
1.563221638E1,-4.968261719E0,2.802581787E1,4.324340820E1
1.573213093E1,-6.565856934E0,3.034973145E1,4.354705811E1
1.578211872E1,-6.071472168E0,3.155517578E1,4.340057373E1
1.588212482E1,-7.258605957E0,3.240814209E1,4.325714111E1
1.598206989E1,-1.034240723E1,3.112487793E1,4.340972900E1
1.603208820E1,-1.137237549E1,3.212890625E1,4.222717285E1
1.613203327E1,-1.279754639E1,3.030548096E1,4.297027588E1
1.623200886E1,-1.945190430E1,3.128204346E1,4.135437012E1
1.628217976E1,-2.501678467E1,2.828369141E1,3.972930908E1
1.638197224E1,-3.449249268E1,2.190246582E1,3.944396973E1
1.648200886E1,-3.881072998E1,1.508483887E1,3.780975342E1
1.653193562E1,-3.729858398E1,1.023864746E1,3.943023682E1
1.663212482E1,-3.397979736E1,1.037597656E-1,4.133605957E1
1.673194782E1,-2.884216309E1,-9.970092773E0,4.591064453E1
1.678187458E1,-2.760467529E1,-1.423645020E1,4.426574707E1
1.688185017E1,-2.062377930E1,-1.936340332E1,4.379272461E1
1.698200886E1,-1.951751709E1,-2.289123535E1,4.363555908E1
1.703184406E1,-1.934661865E1,-2.229461670E1,4.274444580E1
1.713178913E1,-1.407775879E1,-2.345275879E1,4.897003174E1
1.723176472E1,-1.337585449E1,-2.061462402E1,4.733886719E1
1.728175251E1,-1.517791748E1,-2.007904053E1,4.585723877E1
1.738172810E1,-1.385345459E1,-2.137298584E1,4.659576416E1
1.748170368E1,-1.366119385E1,-2.018127441E1,4.600219727E1
1.753169148E1,-1.257781982E1,-1.940155029E1,4.748840332E1
1.763169758E1,-1.145782471E1,-1.773529053E1,4.704284668E1
1.773164265E1,-1.072998047E1,-1.875152588E1,4.674072266E1
1.778163044E1,-8.627319336E0,-1.927337646E1,5.000457764E1
1.788163654E1,-8.763122559E0,-1.883392334E1,4.911193848E1
1.798158161E1,-1.116333008E1,-1.787109375E1,4.867553711E1
1.803178303E1,-1.007232666E1,-1.709594727E1,4.837646484E1
1.813157551E1,-1.290588379E1,-1.525268555E1,4.942779541E1
1.823152058E1,-9.408569336E0,-1.514282227E1,5.046081543E1
1.828150837E1,-1.098785400E1,-1.697235107E1,5.031280518E1
1.838166706E1,-1.005096436E1,-1.619873047E1,5.090484619E1
1.848149006E1,-9.902954102E0,-1.634521484E1,5.030975342E1
1.853144733E1,-9.606933594E0,-1.663360596E1,5.001220703E1
1.863142292E1,-6.703186035E0,-1.594238281E1,5.282897949E1
1.873161213E1,-6.402587891E0,-1.623535156E1,5.030212402E1
1.878138630E1,-7.838439941E0,-1.376037598E1,4.793090820E1
1.888136188E1,-1.017913818E1,-1.561431885E1,4.897460938E1
1.898133747E1,-8.020019531E0,-1.450500488E1,5.030822754E1
1.903135578E1,-9.971618652E0,-1.382293701E1,5.016632080E1
1.913130085E1,-7.554626465E0,-1.404266357E1,5.238952637E1
1.923127644E1,-9.906005859E0,-1.174468994E1,5.016937256E1
1.928126423E1,-1.177062988E1,-1.283874512E1,5.091552734E1
1.938123981E1,-1.197357178E1,-1.463012695E1,4.957427979E1
1.948121540E1,-1.256866455E1,-1.420440674E1,4.913177490E1
1.953120319E1,-1.100311279E1,-1.281890869E1,4.912872314E1
1.963120930E1,-1.134490967E1,-1.401824951E1,4.853515625E1
1.973115437E1,-9.886169434E0,-1.605072021E1,4.778289795E1
1.978132526E1,-1.047821045E1,-1.547393799E1,4.837951660E1
1.988114826E1,-8.367919922E0,-1.615447998E1,4.688873291E1
1.998109333E1,-1.049957275E1,-1.621856689E1,4.763488770E1
2.003108112E1,-9.089660645E0,-1.498870850E1,4.674224854E1
2.013123981E1,-1.004943848E1,-1.620025635E1,5.045928955E1
2.023106281E1,-1.105499268E1,-1.445312500E1,4.912567139E1
2.028102009E1,-1.184997559E1,-1.551666260E1,4.868164062E1
2.038099567E1,-1.101379395E1,-1.801605225E1,4.778137207E1
2.048118488E1,-1.068115234E1,-1.696319580E1,5.001525879E1
2.053095905E1,-1.020355225E1,-1.635589600E1,4.926910400E1
2.063093464E1,-8.332824707E0,-1.481170654E1,5.016021729E1
2.073091023E1,-8.551025391E0,-1.689605713E1,5.000915527E1
2.078089802E1,-8.694458008E0,-1.675567627E1,4.837341309E1
2.088087360E1,-9.951782227E0,-1.798095703E1,4.852294922E1
2.098084919E1,-1.022186279E1,-1.695098877E1,4.897308350E1
2.103086750E1,-8.543395996E0,-1.660003662E1,5.030670166E1
2.113079686E1,-9.136962891E0,-1.632385254E1,4.897003174E1
2.123077075E1,-7.289123535E0,-1.537017822E1,5.089874268E1
2.128075855E1,-1.047363281E1,-1.517486572E1,5.046234131E1
2.138073413E1,-4.376220703E0,-1.913452148E1,5.400543213E1
2.148070972E1,-3.858947754E0,-1.718597412E1,5.475006104E1
2.153088062E1,-4.673767090E0,-1.884613037E1,5.504760742E1
2.163070362E1,-1.750183105E0,-1.771392822E1,5.504150391E1
2.173064868E1,-2.911376953E0,-2.086944580E1,5.429687500E1
2.178063648E1,-4.104614258E0,-2.001190186E1,5.563964844E1
2.188085620E1,-5.439758301E0,-1.916809082E1,5.356292725E1
2.198061817E1,-5.735778809E0,-1.888122559E1,5.430603027E1
2.203057544E1,-5.429077148E0,-1.887207031E1,5.356292725E1
2.213055103E1,-5.429077148E0,-1.887207031E1,5.356292725E1
2.223077075E1,-6.773376465E0,-1.786956787E1,5.609283447E1
2.228051441E1,-3.303527832E0,-1.880340576E1,5.504302979E1
2.238050242E1,-5.728149414E0,-1.858062744E1,5.475311279E1
2.248050852E1,-5.746459961E0,-1.917724609E1,5.430603027E1
2.253046580E1,-6.762695312E0,-1.787567139E1,5.178527832E1
2.263044138E1,-6.785583496E0,-1.402587891E1,4.867095947E1
2.273041697E1,-6.907653809E0,-1.313781738E1,4.897155762E1
2.278040476E1,-6.997680664E0,-1.595916748E1,4.852142334E1
2.288038035E1,-7.629394531E0,-1.672363281E1,4.792633057E1
2.298035593E1,-5.331420898E0,-1.620635986E1,4.896087646E1
2.303043528E1,-7.006835938E0,-1.625823975E1,4.851989746E1
2.313031931E1,-5.168151855E0,-1.560058594E1,5.089416504E1
2.323029490E1,-6.945800781E0,-1.417541504E1,5.075225830E1
2.328052683E1,-5.416870117E0,-1.398162842E1,4.941101074E1
2.338028879E1,-8.255004883E0,-1.243591309E1,4.912414551E1
2.348023386E1,-6.799316406E0,-1.431884766E1,5.045318604E1
