"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.491408372E1,3.546142578E-2,5.749816895E-1,4.389648438E-1
1.496408372E1,2.828674316E-1,-2.704315186E-1,2.526550293E-1
1.501408372E1,1.851348877E-1,-3.095397949E-1,2.784729004E-2
1.506408372E1,-7.203674316E-2,-2.710571289E-1,-3.429260254E-1
1.511408372E1,3.048553467E-1,8.384704590E-2,3.152465820E-2
1.516408372E1,-1.044158936E-1,2.915496826E-1,-1.291198730E-1
1.521408372E1,-2.284240723E-1,1.791534424E-1,2.728118896E-1
1.526408372E1,-8.258514404E-1,-6.253662109E-1,-7.473297119E-1
1.531408372E1,7.945251465E-2,5.597229004E-1,1.799621582E-1
1.536408372E1,-3.163909912E-1,8.445739746E-2,1.625061035E-2
1.541408372E1,1.106109619E-1,-2.863159180E-1,-5.644226074E-2
1.546408372E1,-2.504119873E-1,3.428649902E-1,-4.177856445E-2
1.551408372E1,1.802368164E-1,-2.264556885E-1,1.036071777E-1
1.556408372E1,1.784057617E-1,-1.128387451E-1,6.695556641E-2
1.561408372E1,4.563598633E-1,1.788330078E-2,1.958465576E-1
1.566408372E1,4.936218262E-1,-8.987426758E-3,-5.737304688E-3
1.571408372E1,3.744964600E-1,5.756072998E-1,3.326873779E-1
1.576408372E1,3.323516846E-1,-7.481536865E-1,-6.685333252E-1
1.581408372E1,1.710815430E-1,8.950805664E-1,-2.293090820E-1
1.586408372E1,-1.007537842E-1,-4.494323730E-1,-6.734161377E-1
1.591408372E1,-3.294372559E-2,2.695465088E-1,-4.168548584E-1
1.596408372E1,-1.215209961E-1,-4.197692871E-2,-6.269836426E-1
1.601408372E1,1.051025391E-1,-4.518737793E-1,-1.033828735E0
1.606408372E1,-1.795501709E-1,-1.861419678E-1,-1.494415283E0
1.611408372E1,4.154205322E-1,-3.431396484E-1,-1.783966064E0
1.616408372E1,4.991149902E-1,-9.146118164E-2,-2.335586548E0
1.621408372E1,2.572021484E-1,4.845886230E-1,-2.332534790E0
1.626408372E1,4.404754639E-1,6.049346924E-1,-2.638580322E0
1.631408372E1,-7.569885254E-2,1.264053345E0,-2.539016724E0
1.636408372E1,-1.416778564E-1,-3.553466797E-1,-3.128494263E0
1.641408372E1,5.748596191E-1,1.620483398E-1,-1.999008179E0
1.646408372E1,5.962524414E-1,-3.510742188E-1,-2.824279785E0
1.651408372E1,3.744964600E-1,-1.350463867E0,-3.355743408E0
1.656408372E1,7.945251465E-2,-8.739776611E-1,-3.510299683E0
1.661408372E1,-2.137603760E-1,-1.043182373E0,-3.610473633E0
1.666408372E1,1.429748535E-1,-9.411773682E-1,-3.596435547E0
1.671408372E1,-1.764984131E-1,-1.488800049E-1,-3.598251343E0
1.676408372E1,-1.013641357E-1,5.331420898E-2,-3.295883179E0
1.681408372E1,2.095642090E-1,-1.281127930E-1,-2.987380981E0
1.686408372E1,4.402160645E-2,-1.891937256E-1,-2.572006226E0
1.691408372E1,1.042175293E-2,1.742706299E-1,-1.857894897E0
1.696408372E1,-1.484069824E-1,5.389556885E-1,-1.334976196E0
1.701408372E1,5.455322266E-1,6.654052734E-1,-6.300354004E-1
1.706408372E1,4.129791260E-1,-9.020843506E-1,-5.115356445E-1
1.711408372E1,7.495727539E-1,-8.849792480E-1,-4.522857666E-1
1.716408372E1,-9.097290039E-2,-1.152801514E-1,-5.622253418E-1
1.721408372E1,-9.463500977E-2,2.707824707E-1,-6.526489258E-1
1.726408372E1,-4.760742188E-2,3.104858398E-1,-4.076843262E-1
1.731408372E1,-1.771087646E-1,1.971435547E-2,-4.883117676E-1
1.736408372E1,2.569580078E-2,-1.305541992E-1,-2.244262695E-1
1.741408372E1,1.338195801E-1,5.880737305E-2,-1.999816895E-1
1.746408372E1,2.877502441E-1,-3.709411621E-2,-3.044433594E-1
1.751408372E1,1.942901611E-1,1.217346191E-1,-1.499023438E-1
1.756408372E1,3.708343506E-1,-4.347686768E-1,-3.618774414E-1
1.761408372E1,1.784057617E-1,-9.022521973E-2,-1.749420166E-1
1.766408372E1,-2.039794922E-1,1.284484863E-1,-4.669342041E-1
1.771408372E1,3.176879883E-1,-5.847167969E-2,1.897430420E-1
1.776408372E1,1.118316650E-1,-3.132019043E-1,-1.156768799E-1
1.781408372E1,-9.646606445E-2,-4.197692871E-2,-7.170104980E-2
1.786408372E1,1.436004639E-1,1.180572510E-1,-1.987609863E-1
1.791408372E1,2.935791016E-2,2.481842041E-1,5.290222168E-2
1.796408372E1,2.144470215E-1,1.034088135E-1,-7.598876953E-2
1.801408372E1,2.682037354E-1,-5.786132812E-2,1.199340820E-2
1.806408372E1,2.449951172E-1,2.093505859E-2,8.039855957E-2
1.811408372E1,3.079223633E-1,2.897186279E-1,1.176452637E-1
1.816408372E1,-5.363006592E-1,-1.039520264E0,-4.571685791E-1
1.821408372E1,2.504882812E-1,7.808532715E-1,1.097106934E-1
1.826408372E1,-5.760040283E-1,-3.648376465E-2,2.196655273E-1
1.831408372E1,-2.255249023E-2,-4.756927490E-1,1.836242676E-1
1.836408372E1,-8.486938477E-2,3.831787109E-1,3.180236816E-1
1.841408372E1,7.762145996E-2,-1.940765381E-1,1.036071777E-1
1.846408372E1,1.674194336E-1,-2.808380127E-1,1.677398682E-1
1.851408372E1,1.497039795E-1,-5.603027344E-2,-9.431457520E-2
1.856408372E1,2.987518311E-1,-4.274291992E-1,-1.489257812E-2
1.861408372E1,8.311462402E-2,1.070709229E-1,-2.751159668E-1
1.866408372E1,-2.928161621E-2,-1.385040283E-1,-1.217956543E-1
1.871408372E1,-1.374053955E-1,-4.930114746E-2,-7.497711182E-1
1.876408372E1,-1.746673584E-1,2.341308594E-1,6.878662109E-2
1.881408372E1,-4.150390625E-2,-9.695434570E-2,-1.376800537E-1
1.886408372E1,3.057861328E-2,7.643737793E-1,-2.589416504E-2
1.891408372E1,2.935791016E-2,-4.136657715E-2,-5.581665039E-2
