"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.127580047E1,-5.270385742E0,2.943725586E1,4.858245850E1
9.131049896E1,-6.555175781E0,2.716674805E1,4.694671631E1
9.137574554E1,-5.586242676E0,2.898101807E1,4.724578857E1
9.147572113E1,-4.187011719E0,3.006439209E1,4.828491211E1
9.152570892E1,-3.569030762E0,3.022766113E1,4.694519043E1
9.156049896E1,-4.318237305E0,3.065032959E1,4.739379883E1
9.162568451E1,-2.755737305E0,2.744293213E1,5.080261230E1
9.172566009E1,-3.363037109E0,2.757110596E1,5.139770508E1
9.177583099E1,-1.780700684E0,2.480468750E1,5.258026123E1
9.181049896E1,-5.754089355E0,2.852935791E1,4.768981934E1
9.187562347E1,-5.476379395E0,2.779846191E1,4.843139648E1
9.197559906E1,-4.331970215E0,3.020477295E1,4.739379883E1
9.202558685E1,-6.285095215E0,3.103790283E1,4.829101562E1
9.206049896E1,-4.597473145E0,3.153533936E1,4.888305664E1
9.212580658E1,-3.750610352E0,2.948608398E1,4.976806641E1
9.222553802E1,-6.098937988E0,2.748413086E1,5.021667480E1
9.227552582E1,-5.857849121E0,3.000946045E1,4.754638672E1
9.231049896E1,-3.479003906E0,2.845458984E1,4.902343750E1
9.237550140E1,-3.767395020E0,2.904205322E1,5.050964355E1
9.247569061E1,-3.923034668E0,2.888641357E1,4.887542725E1
9.252546478E1,-3.286743164E0,2.964630127E1,4.813079834E1
9.256049896E1,-3.434753418E0,2.979125977E1,4.857788086E1
9.262547088E1,-5.487060547E0,2.750091553E1,4.887847900E1
9.272544647E1,-5.522155762E0,2.646484375E1,4.991607666E1
9.277540374E1,-4.882812500E0,2.737274170E1,4.902496338E1
9.281049896E1,-7.827758789E0,2.564849854E1,5.006866455E1
9.287537933E1,-5.520629883E0,2.646179199E1,4.887695312E1
9.297538543E1,-5.302429199E0,2.839508057E1,4.798736572E1
9.302534271E1,-3.588867188E0,2.963562012E1,4.739074707E1
9.306049896E1,-5.400085449E0,3.017425537E1,4.843597412E1
9.312531830E1,-5.720520020E0,2.957000732E1,4.813690186E1
9.322529388E1,-4.698181152E0,2.826690674E1,4.813385010E1
