Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.70640","12.94883","14.16000"
"0.70737","12.96708","14.18000"
"0.70842","12.98655","14.20000"
"0.70944","13.00850","14.22000"
"0.71029","13.03078","14.24000"
"0.71103","13.04980","14.26000"
"0.71199","13.06624","14.28000"
"0.71324","13.08608","14.30000"
"0.71460","13.11268","14.32000"
"0.71563","13.14241","14.34000"
"0.71639","13.16703","14.36000"
"0.71731","13.18548","14.38000"
"0.71834","13.20385","14.40000"
"0.71939","13.22496","14.42000"
"0.72035","13.24741","14.44000"
"0.72111","13.26812","14.46000"
"0.72200","13.28549","14.48000"
"0.72319","13.30439","14.50000"
"0.72456","13.32954","14.52000"
"0.72568","13.35939","14.54000"
"0.72643","13.38556","14.56000"
"0.72729","13.40423","14.58000"
"0.72835","13.42201","14.60000"
"0.72941","13.44329","14.62000"
"0.73041","13.46660","14.64000"
"0.73119","13.48842","14.66000"
"0.73202","13.50638","14.68000"
"0.73316","13.52426","14.70000"
"0.73451","13.54774","14.72000"
"0.73568","13.57722","14.74000"
"0.73645","13.60441","14.76000"
"0.73727","13.62399","14.78000"
"0.73832","13.64135","14.80000"
"0.73939","13.66178","14.82000"
"0.74044","13.68473","14.84000"
"0.74125","13.70792","14.86000"
"0.74203","13.72695","14.88000"
"0.74308","13.74378","14.90000"
"0.74440","13.76506","14.92000"
"0.74568","13.79332","14.94000"
"0.74654","13.82222","14.96000"
"0.74734","13.84429","14.98000"
"0.74836","13.86223","15.00000"
"0.74942","13.88227","15.02000"
"0.75042","13.90488","15.04000"
"0.75124","13.92718","15.06000"
"0.75200","13.94560","15.08000"
"0.75301","13.96209","15.10000"
"0.75430","13.98265","15.12000"
"0.75565","14.00987","15.14000"
"0.75659","14.04004","15.16000"
"0.75737","14.06368","15.18000"
"0.75835","14.08166","15.20000"
"0.75941","14.10082","15.22000"
"0.76044","14.12303","15.24000"
"0.76130","14.14544","15.26000"
"0.76204","14.16411","15.28000"
"0.76301","14.18029","15.30000"
"0.76428","14.19990","15.32000"
"0.76565","14.22707","15.34000"
"0.76663","14.25727","15.36000"
"0.76736","14.28116","15.38000"
"0.76829","14.29840","15.40000"
"0.76936","14.31642","15.42000"
"0.77042","14.33850","15.44000"
"0.77135","14.36164","15.46000"
"0.77212","14.38232","15.48000"
"0.77302","14.39928","15.50000"
"0.77422","14.41811","15.52000"
"0.77557","14.44310","15.54000"
"0.77666","14.47266","15.56000"
"0.77741","14.49815","15.58000"
"0.77830","14.51661","15.60000"
"0.77936","14.53461","15.62000"
"0.78043","14.55618","15.64000"
"0.78140","14.57954","15.66000"
"0.78216","14.60066","15.68000"
"0.78303","14.61811","15.70000"
"0.78420","14.63670","15.72000"
"0.78555","14.66101","15.74000"
"0.78669","14.69007","15.76000"
"0.78742","14.71607","15.78000"
"0.78824","14.73448","15.80000"
"0.78930","14.75150","15.82000"
"0.79039","14.77237","15.84000"
"0.79138","14.79564","15.86000"
"0.79218","14.81745","15.88000"
"0.79300","14.83532","15.90000"
"0.79411","14.85290","15.92000"
"0.79547","14.87616","15.94000"
"0.79673","14.90555","15.96000"
"0.79753","14.93369","15.98000"
"0.79832","14.95367","16.00000"
"0.79933","14.97048","16.02000"
"0.80041","14.99012","16.04000"
"0.80144","15.01293","16.06000"
"0.80224","15.03498","16.08000"
"0.80302","15.05313","16.10000"
"0.80407","15.06991","16.12000"
"0.80539","15.09114","16.14000"
"0.80668","15.11902","16.16000"
"0.80753","15.14790","16.18000"
"0.80826","15.16884","16.20000"
"0.80925","15.18509","16.22000"
"0.81033","15.20381","16.24000"
