"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.847610962E1,-1.229904175E0,2.636886597E0,9.628723145E0
1.852610962E1,-3.588867188E-2,1.107879639E0,1.255035400E1
1.857610962E1,-3.876342773E-1,3.852386475E-1,1.004507446E1
1.862610962E1,-9.567260742E-3,7.082824707E-1,1.057148743E1
1.867610962E1,6.053771973E-1,2.012359619E0,7.795822144E0
1.872610962E1,-2.560272217E-1,2.017150879E0,8.157135010E0
1.877610962E1,5.383911133E-1,2.021942139E0,9.095123291E0
1.882610962E1,3.206329346E-1,2.249252319E0,8.898910522E0
1.887610962E1,1.100769043E-1,1.600799561E0,1.010728455E1
1.892610962E1,1.253845215E0,9.523468018E-1,1.161715698E1
1.897610962E1,-1.363983154E-1,1.404586792E0,1.076530457E1
1.902610962E1,1.292129517E0,1.428512573E0,9.990036011E0
1.907610962E1,1.435699463E-1,3.756713867E-1,1.301934814E1
1.912610962E1,6.125640869E-1,6.006011963E-1,9.726821899E0
1.917610962E1,5.312042236E-1,6.867370605E-1,8.903686523E0
1.922610962E1,1.701293945E0,1.617553711E0,7.676177979E0
1.927610962E1,2.368927002E-1,1.677368164E0,9.394226074E0
1.932610962E1,2.703857422E-1,2.184646606E0,9.444473267E0
1.937610962E1,-2.632141113E-2,2.258819580E0,1.067199707E1
1.942610962E1,7.489471436E-1,2.452636719E0,1.023889160E1
1.947610962E1,-2.895355225E-1,1.701293945E0,1.189471436E1
1.952610962E1,-4.737854004E-1,1.529006958E0,1.060499573E1
1.957610962E1,-1.651000977E-1,1.426116943E0,9.523437500E0
1.962610962E1,7.274169922E-1,4.211425781E-1,1.335194397E1
1.967610962E1,4.235229492E-1,6.388854980E-1,9.018554688E0
1.972610962E1,1.435852051E-2,6.436767578E-1,9.477966309E0
1.977610962E1,8.135986328E-2,1.040878296E0,9.183654785E0
1.982610962E1,-2.464599609E-1,1.284942627E0,9.018554688E0
1.987610962E1,5.455627441E-1,2.069793701E0,9.312866211E0
1.992610962E1,-2.488555908E-1,2.031509399E0,9.501892090E0
1.997610962E1,-1.124572754E-1,1.768295288E0,9.461227417E0
2.002610962E1,2.608184814E-1,1.098312378E0,1.108116150E1
2.007610962E1,2.392578125E-2,1.227523804E0,1.066001892E1
2.012610962E1,3.541412354E-1,1.691726685E0,8.776870728E0
2.017610962E1,6.676025391E-1,3.397827148E-1,1.346441650E1
2.022610962E1,2.273254395E-1,7.968139648E-1,1.075094604E1
2.027610962E1,2.536315918E-1,6.221313477E-1,1.023889160E1
2.032610962E1,1.091125488E0,1.500305176E0,7.164108276E0
2.037610962E1,1.220397949E-1,1.272979736E0,7.513458252E0
2.042610962E1,3.708801270E-1,1.765899658E0,9.229110718E0
2.047610962E1,-2.273254395E-1,1.856826782E0,9.808181763E0
2.052610962E1,4.570312500E-1,1.935791016E0,1.111944580E1
2.057610962E1,2.440643311E-1,2.041076660E0,1.109072876E1
2.062610962E1,-2.057800293E-1,1.887939453E0,1.137309265E1
2.067610962E1,2.105712891E-1,2.376068115E0,9.867996216E0
2.072610962E1,7.417297363E-2,6.221313477E-1,1.237806702E1
2.077610962E1,-1.244201660E-1,2.416687012E-1,1.099023438E1
2.082610962E1,-1.842498779E-1,6.029968262E-1,8.575881958E0
2.087610962E1,-1.292114258E-1,1.586441040E0,8.193023682E0
2.092610962E1,-3.086700439E-1,1.940582275E0,8.181060791E0
2.097610962E1,-5.910339355E-1,2.423934937E0,9.643081665E0
2.102610962E1,-1.986083984E-1,2.802001953E0,9.899108887E0
2.107610962E1,-3.278198242E-1,2.744567871E0,9.970886230E0
2.112610962E1,1.794586182E-1,2.277969360E0,9.729217529E0
2.117610962E1,-4.737854004E-1,1.703689575E0,1.105004883E1
2.122610962E1,-6.700134277E-2,2.289932251E0,1.037767029E1
2.127610962E1,1.658233643E0,1.395019531E0,1.266760254E1
2.132610962E1,-3.445739746E-1,1.153335571E0,1.060499573E1
2.137610962E1,6.676025391E-1,1.533798218E0,8.726623535E0
2.142610962E1,6.484527588E-1,2.194213867E0,7.558929443E0
2.147610962E1,-4.570312500E-1,1.995620728E0,6.932006836E0
2.152610962E1,-2.560272217E-1,1.844863892E0,7.841278076E0
2.157610962E1,-1.459655762E-1,2.005187988E0,9.107086182E0
2.162610962E1,-7.177734375E-2,2.203796387E0,1.094715881E1
2.167610962E1,-4.235229492E-1,2.455032349E0,1.128933716E1
2.172610962E1,-5.670928955E-1,2.677566528E0,1.217707825E1
2.177610962E1,-1.076766968E0,2.646469116E0,1.124148560E1
2.182610962E1,1.363983154E-1,2.057830811E0,1.140898132E1
2.187610962E1,-9.092712402E-1,5.838470459E-1,1.115055847E1
2.192610962E1,-8.638153076E-1,6.316986084E-1,9.324829102E0
2.197610962E1,-1.239486694E0,1.356735229E0,7.518249512E0
2.202610962E1,-8.255310059E-1,1.749160767E0,7.549362183E0
2.207610962E1,-9.427795410E-1,2.589035034E0,8.688339233E0
2.212610962E1,-7.346038818E-1,3.026916504E0,9.410964966E0
2.217610962E1,-9.379882812E-1,2.756530762E0,1.001875305E1
2.222610962E1,-2.392883301E-1,2.605789185E0,1.039920044E1
2.227610962E1,-4.929199219E-1,1.954940796E0,1.129173279E1
2.232610962E1,-4.307556152E-2,2.115249634E0,1.018864441E1
