"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.482391625E1,-1.658782959E1,3.607177734E0,3.865814209E1
1.487390405E1,-1.510772705E1,2.468872070E0,3.984069824E1
1.490130883E1,-1.557922363E1,2.008056641E0,3.969268799E1
1.497391015E1,-1.481628418E1,2.030944824E0,3.894805908E1
1.502389794E1,-1.488189697E1,-5.187988281E-2,3.864746094E1
1.512384301E1,-1.452789307E1,1.292419434E0,3.641967773E1
1.517383080E1,-1.258392334E1,3.158569336E-1,3.700714111E1
1.522384911E1,-1.197814941E1,3.356933594E-1,3.730163574E1
1.527630883E1,-1.155242920E1,-6.912231445E-1,3.655700684E1
1.537378198E1,-1.218719482E1,-1.602172852E0,3.640899658E1
1.542376977E1,-1.177520752E1,-2.926635742E0,3.610687256E1
1.552374536E1,-1.217346191E1,-5.755615234E0,3.729095459E1
1.557373315E1,-1.147460938E1,-7.814025879E0,3.654479980E1
1.562372094E1,-1.174011230E1,-6.483459473E0,3.773498535E1
1.565130883E1,-1.155395508E1,-1.018981934E1,3.728179932E1
1.572369653E1,-1.397552490E1,-9.819030762E0,3.803405762E1
1.577371484E1,-1.336212158E1,-9.501647949E0,3.907165527E1
1.587365991E1,-1.145629883E1,-1.166381836E1,4.069519043E1
1.592364770E1,-1.211090088E1,-1.301727295E1,4.188537598E1
1.597363549E1,-1.346588135E1,-1.261749268E1,4.099884033E1
1.602630883E1,-1.025085449E1,-1.177215576E1,4.292297363E1
1.612359887E1,-1.024627686E1,-1.147003174E1,4.441070557E1
1.617358666E1,-8.900451660E0,-1.217193604E1,4.455413818E1
1.627356225E1,-4.635620117E0,-1.633758545E1,4.869689941E1
1.632355004E1,-5.720520020E0,-1.696472168E1,4.840087891E1
1.637387353E1,-4.580688477E0,-1.455230713E1,4.944305420E1
1.640130883E1,-4.913330078E0,-1.560516357E1,4.691467285E1
1.647351342E1,-4.876708984E0,-1.426391602E1,4.914703369E1
1.652350121E1,-4.550170898E0,-1.366119385E1,4.840393066E1
1.662350732E1,-5.471801758E0,-1.413726807E1,4.706573486E1
1.667346459E1,-1.708984375E0,-1.520690918E1,4.794769287E1
1.672384911E1,-2.293395996E0,-1.433258057E1,4.928894043E1
1.677630883E1,-6.729125977E-1,-1.591186523E1,4.972686768E1
1.687341576E1,-1.188659668E0,-1.785888672E1,4.942779541E1
1.692343408E1,-1.190185547E-1,-1.752471924E1,5.091094971E1
1.702337914E1,-2.987670898E0,-1.702423096E1,4.928588867E1
1.707373315E1,-1.554870605E0,-1.504974365E1,4.928588867E1
1.712338525E1,-3.565979004E0,-1.600189209E1,5.018005371E1
1.715130883E1,-1.751708984E0,-1.624145508E1,5.166168213E1
1.722336083E1,-2.183532715E0,-1.551208496E1,5.092163086E1
1.727331811E1,-2.326965332E0,-1.537017822E1,5.003051758E1
1.737329370E1,-3.367614746E0,-1.436004639E1,5.256195068E1
1.742364770E1,-4.357910156E0,-1.201477051E1,5.331115723E1
1.747329980E1,-2.554321289E0,-1.269836426E1,5.330352783E1
1.752630883E1,-2.125549316E0,-1.357727051E1,5.270843506E1
1.762323266E1,-2.908325195E0,-1.434631348E1,5.181579590E1
1.767322045E1,-3.488159180E0,-1.362457275E1,4.973907471E1
1.777362328E1,-3.341674805E-1,-1.440887451E1,5.448608398E1
1.782318383E1,-3.311157227E-1,-1.441040039E1,5.344390869E1
1.787317162E1,4.013061523E-1,-1.512756348E1,5.552215576E1
1.790130883E1,-1.113891602E-1,-1.232604980E1,5.404205322E1
1.797314721E1,7.781982422E-1,-1.304168701E1,5.299835205E1
1.802313500E1,1.040649414E0,-1.436920166E1,5.269775391E1
1.812311059E1,1.411437988E0,-1.227874756E1,5.329437256E1
1.817309838E1,1.658630371E0,-1.390075684E1,5.507354736E1
1.822308618E1,7.781982422E-1,-1.304168701E1,5.299835205E1
1.827630883E1,2.020263672E0,-1.226043701E1,5.329284668E1
1.837304955E1,2.917480469E0,-1.267700195E1,5.373687744E1
1.842303735E1,1.553344727E0,-1.241912842E1,5.522613525E1
1.852301293E1,1.870727539E0,-1.211395264E1,5.418548584E1
1.857300073E1,1.565551758E0,-1.212310791E1,5.418701172E1
1.862301904E1,2.330017090E0,-1.210479736E1,5.195312500E1
1.865130883E1,1.998901367E0,-1.285400391E1,5.403747559E1
1.872296411E1,4.544067383E0,-1.411132812E1,5.328369141E1
1.877295190E1,5.931091309E0,-1.347198486E1,5.432128906E1
1.887292748E1,5.194091797E0,-1.275329590E1,5.328521729E1
1.892294579E1,8.859252930E0,-1.234283447E1,5.357360840E1
1.902289086E1,8.859252930E0,-1.234283447E1,5.357360840E1
1.907287866E1,8.050537109E0,-9.104919434E0,5.298767090E1
1.912286645E1,7.199096680E0,-1.195068359E1,5.268554688E1
1.915130883E1,9.207153320E0,-1.099700928E1,5.283050537E1
1.922287255E1,9.973144531E0,-1.097717285E1,5.074920654E1
1.927282983E1,1.184692383E1,-9.283447266E0,5.208587646E1
1.937280541E1,1.483154297E1,-1.097106934E1,5.296630859E1
1.942279321E1,1.634368896E1,-1.137237549E1,5.102996826E1
