"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.141612806E1,1.626892090E-1,1.116744995E0,-1.312255859E-3
9.146612806E1,-2.765350342E-1,-1.006011963E0,-3.308105469E-2
9.151612806E1,-1.141357422E-2,-2.094421387E-1,5.915832520E-2
9.156612806E1,-3.932037354E-1,2.053222656E-1,-3.674316406E-2
9.161612806E1,-1.513061523E-1,-1.672973633E-1,-4.835510254E-2
9.166612806E1,1.545715332E-2,4.588317871E-2,1.055755615E-1
9.171612806E1,1.712341309E-1,-4.043121338E-1,1.446685791E-1
9.176612806E1,1.199188232E-1,-2.332763672E-1,-2.758789062E-2
9.181612806E1,1.403808594E-3,-2.662506104E-1,-7.217407227E-2
9.186612806E1,-1.824493408E-1,-3.358917236E-1,-4.014282227E-1
9.191612806E1,-1.494598389E-1,5.522918701E-1,-3.116302490E-1
9.196612806E1,-2.056579590E-1,-1.672973633E-1,-7.801818848E-1
9.201612806E1,3.439331055E-2,1.582794189E-1,5.487060547E-2
9.206612806E1,-3.064575195E-1,-2.173919678E-1,-4.591369629E-2
9.211612806E1,8.570861816E-2,1.307983398E-1,-1.644134521E-1
9.216612806E1,1.468048096E-1,2.169342041E-1,1.892700195E-1
9.221612806E1,3.312835693E-1,-4.336395264E-1,1.208496094E-1
9.226612806E1,3.838195801E-1,-1.508026123E-1,1.935424805E-1
9.231612806E1,1.449584961E-1,1.216278076E-1,-2.758789062E-2
9.236612806E1,3.178405762E-1,4.453887939E-1,5.609130859E-2
9.241612806E1,-3.119659424E-1,9.615783691E-1,1.318511963E-1
9.246612806E1,3.221130371E-1,-9.931945801E-1,-1.353454590E-2
9.251612806E1,-2.068939209E-1,1.900482178E-1,2.943267822E-1
9.256612806E1,7.960510254E-2,3.555908203E-1,3.065490723E-1
9.261612806E1,8.021545410E-2,2.065429688E-1,1.782684326E-1
9.266612806E1,1.174774170E-1,-4.507446289E-1,1.251220703E-1
9.271612806E1,9.364318848E-2,-3.609466553E-1,2.136993408E-1
9.276612806E1,2.646942139E-1,-5.606994629E-1,1.943969727E-2
9.281612806E1,-6.333923340E-2,6.176757812E-2,-1.192169189E-1
9.286612806E1,2.624511719E-3,4.942626953E-1,-1.473083496E-1
9.291612806E1,-7.957611084E-1,5.566406250E-2,-6.573944092E-1
9.296612806E1,2.084960938E-1,2.529754639E-1,-4.774475098E-2
9.301612806E1,-2.313232422E-1,8.926391602E-2,1.807098389E-1
9.306612806E1,4.966735840E-2,1.650085449E-1,-1.515960693E-1
9.311612806E1,1.327514648E-1,4.191284180E-1,-1.821289062E-1
9.316612806E1,1.981048584E-1,-3.273468018E-1,-4.835510254E-2
9.321612806E1,2.158203125E-1,-3.016815186E-1,3.570556641E-3
9.326612806E1,1.040344238E-1,1.167449951E-1,-3.735351562E-2
9.331612806E1,1.211395264E-1,7.154846191E-2,-2.941894531E-2
9.336612806E1,1.040344238E-1,1.026947021E0,1.611633301E-1
9.341612806E1,-1.457977295E-1,-1.115982056E0,-1.130981445E-1
9.346612806E1,-5.172729492E-2,5.437469482E-1,1.880493164E-1
9.351612806E1,-6.888580322E-1,-2.900848389E-1,-1.088409424E-1
9.356612806E1,1.687927246E-1,-1.269836426E-1,1.281738281E-1
9.361612806E1,3.561401367E-2,4.918212891E-1,5.303955078E-2
9.366612806E1,4.051971436E-1,-3.804931641E-1,1.776580811E-1
9.371612806E1,2.029418945E-3,-2.338867188E-1,-7.431030273E-3
9.376612806E1,1.606750488E-2,-3.377380371E-1,-1.491546631E-1
9.381612806E1,-7.859802246E-2,1.167449951E-1,-1.955718994E-1
9.386612806E1,-3.650970459E-1,3.720855713E-1,-2.371063232E-1
9.391612806E1,-5.385894775E-1,-1.941833496E-1,-7.630767822E-1
9.396612806E1,-1.201477051E-1,1.314086914E-1,1.898803711E-1
9.401612806E1,-2.148284912E-1,8.192443848E-2,-9.783935547E-2
9.406612806E1,-3.401184082E-2,-2.485504150E-1,-2.456665039E-1
9.411612806E1,6.738281250E-2,1.046752930E-2,-2.514648438E-2
9.416612806E1,1.535186768E-1,-2.784729004E-1,1.715545654E-1
9.421612806E1,3.294525146E-1,1.815032959E-1,9.152221680E-2
9.426612806E1,3.250122070E-3,2.267456055E-2,5.181884766E-2
9.431612806E1,3.422698975E-1,4.142456055E-1,1.972045898E-1
9.436612806E1,-4.017639160E-1,4.808197021E-1,3.664093018E-1
9.441612806E1,1.498565674E-1,-1.081771851E0,3.837585449E-2
9.446612806E1,-3.779296875E-1,5.431365967E-1,-4.469299316E-2
9.451612806E1,-4.158020020E-1,8.192443848E-2,1.232910156E-1
9.456612806E1,1.700134277E-1,-4.495239258E-1,2.204132080E-1
9.461612806E1,9.852600098E-2,1.594543457E-2,2.961730957E-1
9.466612806E1,2.390441895E-1,-1.587524414E-1,3.572540283E-1
9.471612806E1,1.889495850E-1,-7.688903809E-2,1.232910156E-1
9.476612806E1,4.234313965E-2,-1.294250488E-1,-1.002807617E-1
9.481612806E1,8.204650879E-2,1.766052246E-1,-1.109313965E-2
9.486612806E1,-6.283874512E-1,-5.228271484E-1,-2.071838379E-1
9.491612806E1,2.836303711E-1,-1.226959229E-1,-2.090148926E-1
9.496612806E1,-3.157043457E-2,4.643402100E-1,1.947631836E-1
9.501612806E1,-5.722045898E-2,-3.377380371E-1,-8.622741699E-2
9.506612806E1,6.799316406E-2,2.334289551E-1,-1.967926025E-1
9.511612806E1,1.046447754E-1,1.601257324E-1,1.294097900E-1
